from_frame,to_frame,fen,occluded
7428,7428,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,
12848,12848,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,
12896,12896,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR,"g1,h1"
12916,12916,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R,
12940,12940,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R,
12972,12972,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R,
13000,13000,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R,
13024,13024,r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R,
13044,13044,r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R,
13068,13068,r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R,
13080,13080,r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R,
13104,13104,r1bqkb1r/ppp2ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R,
13176,13176,r2qkb1r/pppb1ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R,
13524,13524,r2qkb1r/pppB1ppp/5n2/n2Pp1N1/8/8/PPPP1PPP/RNBQK2R,
13644,13644,r3kb1r/pppq1ppp/5n2/n2Pp1N1/8/8/PPPP1PPP/RNBQK2R,
13672,13672,r3kb1r/pppq1ppp/5n2/n2Pp1N1/8/8/PPPP1PPP/RNBQ1RK1,
14904,14904,r3kb1r/ppp2ppp/5n2/n2qp1N1/8/8/PPPP1PPP/RNBQ1RK1,
14944,14944,r3kb1r/ppp2ppp/5n2/n2qp1N1/8/2N5/PPPP1PPP/R1BQ1RK1,
14960,14960,r3kb1r/ppp2ppp/3q1n2/n3p1N1/8/2N5/PPPP1PPP/R1BQ1RK1,
15016,15016,r3kb1r/ppp2ppp/3q1n2/n3p1N1/8/2N5/PPPP1PPP/R1BQR1K1,
15304,15304,2kr1b1r/ppp2ppp/3q1n2/n3p1N1/8/2N5/PPPP1PPP/R1BQR1K1,
15352,15352,2kr1b1r/ppp2ppp/3q1n2/n3p1N1/8/2N2Q2/PPPP1PPP/R1B1R1K1,
15524,15524,2kr1b1r/ppp2pp1/3q1n1p/n3p1N1/8/2N2Q2/PPPP1PPP/R1B1R1K1,
