from_frame,to_frame,fen,occluded
56,56,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,
108,108,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,
164,164,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR,
216,216,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R,
272,272,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R,
328,328,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R,
380,380,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R,
436,436,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R,
492,492,r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R,
544,544,r1bqkb1r/pppp1Bpp/2n5/4p3/4n3/2N2N2/PPPP1PPP/R1BQK2R,
600,600,r1bq1b1r/pppp1kpp/2n5/4p3/4n3/2N2N2/PPPP1PPP/R1BQK2R,
652,652,r1bq1b1r/pppp1kpp/2n5/4p3/4N3/5N2/PPPP1PPP/R1BQK2R,
708,708,r1bq1b1r/pppp1kp1/2n4p/4p3/4N3/5N2/PPPP1PPP/R1BQK2R,
764,764,r1bq1b1r/pppp1kp1/2n4p/4p3/4N3/3P1N2/PPP2PPP/R1BQK2R,
816,816,r1bq1b1r/ppp2kp1/2n4p/3pp3/4N3/3P1N2/PPP2PPP/R1BQK2R,
872,872,r1bq1b1r/ppp2kp1/2n4p/3pp3/8/2NP1N2/PPP2PPP/R1BQK2R,
928,928,r1bq3r/ppp2kp1/2n4p/3pp3/1b6/2NP1N2/PPP2PPP/R1BQK2R,
980,980,r1bq3r/ppp2kp1/2n4p/3pp3/1b6/2NP1N2/PPP2PPP/R1BQ1RK1,
1036,1036,r2q3r/ppp2kp1/2n4p/3pp3/1b4b1/2NP1N2/PPP2PPP/R1BQ1RK1,
1088,1088,r2q3r/ppp2kp1/2n4p/3pp3/1b4b1/2NP1N2/PPP2PPP/R1BQR1K1,
1144,1144,r2qr3/ppp2kp1/2n4p/3pp3/1b4b1/2NP1N2/PPP2PPP/R1BQR1K1,
1200,1200,r2qr3/ppp2kp1/2n4p/3pp3/1b4b1/P1NP1N2/1PP2PPP/R1BQR1K1,
1252,1252,r2qr3/ppp2kp1/2n4p/3pp3/6b1/P1bP1N2/1PP2PPP/R1BQR1K1,
1308,1308,r2qr3/ppp2kp1/2n4p/3pp3/6b1/P1PP1N2/2P2PPP/R1BQR1K1,
1364,1364,r2qr1k1/ppp3p1/2n4p/3pp3/6b1/P1PP1N2/2P2PPP/R1BQR1K1,
1416,1416,r2qr1k1/ppp3p1/2n4p/3pp3/6b1/P1PP1N1P/2P2PP1/R1BQR1K1,
1472,1472,r2qr1k1/ppp3p1/2n4p/3pp2b/8/P1PP1N1P/2P2PP1/R1BQR1K1,
1524,1524,r2qr1k1/ppp3p1/2n4p/3pp2b/8/P1PP1N1P/1BP2PP1/R2QR1K1,
1580,1580,r2q1rk1/ppp3p1/2n4p/3pp2b/8/P1PP1N1P/1BP2PP1/R2QR1K1,
1636,1636,r2q1rk1/ppp3p1/2n4p/3pp2b/8/P1PP1N1P/1BPQ1PP1/R3R1K1,
1688,1688,r2q1rk1/ppp3p1/2n4p/3pp3/8/P1PP1b1P/1BPQ1PP1/R3R1K1,
1744,1744,r2q1rk1/ppp3p1/2n4p/3pp3/8/P1PP1P1P/1BPQ1P2/R3R1K1,
1800,1800,r2q2k1/ppp3p1/2n4p/3pp3/8/P1PP1r1P/1BPQ1P2/R3R1K1,
1852,1852,r2q2k1/ppp3p1/2n4p/3pp3/8/P1PP1r1P/1BP1QP2/R3R1K1,
1908,1908,r2q2k1/ppp3p1/2n4p/3pp3/8/P1PP3r/1BP1QP2/R3R1K1,
1960,1960,r2q2k1/ppp3p1/2n4p/3pp3/6Q1/P1PP3r/1BP2P2/R3R1K1,
2016,2016,r5k1/ppp3p1/2n4p/3pp1q1/6Q1/P1PP3r/1BP2P2/R3R1K1,
2072,2072,r5k1/ppp3p1/2n4p/3pp1q1/8/P1PP3r/1BP2PQ1/R3R1K1,
2124,2124,r5k1/ppp3p1/2n4p/3pp3/8/P1PP3r/1BP2Pq1/R3R1K1,
2180,2180,r5k1/ppp3p1/2n4p/3pp3/8/P1PP3r/1BP2PK1/R3R3,
2236,2236,r5k1/ppp3p1/2n4p/3pp2r/8/P1PP4/1BP2PK1/R3R3,
2288,2288,r5k1/ppp3p1/2n4p/3pp2r/2P5/P2P4/1BP2PK1/R3R3,
2344,2344,r5k1/ppp3p1/2n4p/4p2r/2Pp4/P2P4/1BP2PK1/R3R3,
2400,2400,r5k1/ppp3p1/2n4p/4p2r/2Pp4/P1PP4/1B3PK1/R3R3,
2452,2452,r5k1/ppp3p1/2n4p/4p1r1/2Pp4/P1PP4/1B3PK1/R3R3,
2508,2508,r5k1/ppp3p1/2n4p/4p1r1/2Pp4/P1PP4/1B3P2/R3RK2,
2560,2560,5rk1/ppp3p1/2n4p/4p1r1/2Pp4/P1PP4/1B3P2/R3RK2,
2616,2616,5rk1/ppp3p1/2n4p/4p1r1/2PP4/P2P4/1B3P2/R3RK2,
2672,2672,5rk1/ppp3p1/7p/4p1r1/2Pn4/P2P4/1B3P2/R3RK2,
2724,2724,5rk1/ppp3p1/7p/4R1r1/2Pn4/P2P4/1B3P2/R4K2,
2780,2780,5rk1/ppp3p1/7p/4r3/2Pn4/P2P4/1B3P2/R4K2,
2836,2836,5rk1/ppp3p1/7p/4r3/2PB4/P2P4/5P2/R4K2,
2888,2888,5rk1/ppp3p1/7p/7r/2PB4/P2P4/5P2/R4K2,
2944,2944,5rk1/ppp3p1/7p/7r/2PB4/P2P4/4KP2/R7,
2996,2996,4r1k1/ppp3p1/7p/7r/2PB4/P2P4/4KP2/R7,
3052,3052,4r1k1/ppp3p1/7p/7r/2PB4/P2P4/3K1P2/R7,
3108,3108,4r1k1/pp4p1/7p/2p4r/2PB4/P2P4/3K1P2/R7,
3160,3160,4r1k1/pp4p1/7p/2p4r/2P5/P1BP4/3K1P2/R7,
3216,3216,4r1k1/pp4p1/7p/2p5/2P5/P1BP4/3K1P1r/R7,
3272,3272,4r1k1/pp4p1/7p/2p5/2P5/P1BP4/3K1P1r/5R2,
3324,3324,5rk1/pp4p1/7p/2p5/2P5/P1BP4/3K1P1r/5R2,
3380,3380,5rk1/pp4p1/7p/2p5/2P5/P1BPK3/5P1r/5R2,
3432,3432,5rk1/pp4p1/7p/2p5/2P5/P1BPK2r/5P2/5R2,
3488,3488,5rk1/pp4p1/7p/2p5/2P5/P1BP3r/4KP2/5R2,
3544,3544,4r1k1/pp4p1/7p/2p5/2P5/P1BP3r/4KP2/5R2,
3596,3596,4r1k1/pp4p1/7p/2p5/2P5/P1BP3r/3K1P2/5R2,
3652,3652,3r2k1/pp4p1/7p/2p5/2P5/P1BP3r/3K1P2/5R2,
3708,3708,3r2k1/pp4p1/7p/2p5/2P5/P1BP3r/3K1P2/6R1,
3760,3760,3r2k1/pp4p1/7p/2p5/2P5/P1Br4/3K1P2/6R1,
3816,3816,3r2k1/pp4p1/7p/2p5/2P5/P1Br4/2K2P2/6R1,
3868,3868,3r2k1/pp1r2p1/7p/2p5/2P5/P1B5/2K2P2/6R1,
3924,3924,3r2k1/pp1r2p1/5B1p/2p5/2P5/P7/2K2P2/6R1,
3980,3980,4r1k1/pp1r2p1/5B1p/2p5/2P5/P7/2K2P2/6R1,
4032,4032,4r1k1/pp1r2p1/7p/2p5/2P5/P1B5/2K2P2/6R1,
4088,4088,6k1/pp1r2p1/7p/2p5/2P5/P1B5/2K1rP2/6R1,
4144,4144,6k1/pp1r2p1/7p/2p5/2P5/PKB5/4rP2/6R1,
4196,4196,6k1/pp1r2p1/7p/2p5/2P5/PKB5/5r2/6R1,
4252,4252,6k1/pp1r2p1/7p/2p5/2P5/PK6/5r2/4B1R1,
4304,4304,6k1/pp1r2p1/7p/2p5/2P5/PK3r2/8/4B1R1,
4360,4360,6k1/pp1r2p1/7p/2p5/K1P5/P4r2/8/4B1R1,
4416,4416,6k1/pp4p1/7p/2p5/K1P5/P4r2/8/3rB1R1,
4468,4468,6k1/pp4p1/7p/2p5/K1P5/P4r2/5B2/3r2R1,
4524,4524,6k1/pp4p1/7p/2p5/K1P5/P4r2/5B2/6r1,
4580,4580,6k1/pp4p1/7p/2p5/K1P5/P4r2/8/6B1,
4632,4632,6k1/pp4p1/7p/2p2r2/K1P5/P7/8/6B1,
4688,4688,6k1/pp4p1/7p/1Kp2r2/2P5/P7/8/6B1,
4740,4740,6k1/p5p1/1p5p/1Kp2r2/2P5/P7/8/6B1,
4796,4796,6k1/p5p1/1p5p/1Kp2r2/P1P5/8/8/6B1,
4852,4852,8/p5pk/1p5p/1Kp2r2/P1P5/8/8/6B1,
4904,4904,8/p5pk/Kp5p/2p2r2/P1P5/8/8/6B1,
4960,4960,8/p4rpk/Kp5p/2p5/P1P5/8/8/6B1,
5016,5016,8/p4rpk/Kp5p/P1p5/2P5/8/8/6B1,
5068,5068,8/p4rpk/K6p/p1p5/2P5/8/8/6B1,
5124,5124,8/p4rpk/7p/K1p5/2P5/8/8/6B1,
5180,5180,8/p5pk/7p/K1p5/2P2r2/8/8/6B1,
5232,5232,8/p5pk/7p/1Kp5/2P2r2/8/8/6B1,
5288,5288,8/p5pk/8/1Kp4p/2P2r2/8/8/6B1,
5340,5340,8/p5pk/8/2K4p/2P2r2/8/8/6B1,
5396,5396,8/p5pk/8/2K5/2P2r1p/8/8/6B1,
5452,5452,8/p5pk/8/2K5/2PB1r1p/8/8/8,
5504,5504,8/p5pk/8/2K5/2Pr3p/8/8/8,
5560,5560,8/p5pk/8/8/2PK3p/8/8/8,
5616,5616,8/p5pk/8/8/2PK4/7p/8/8,
5668,5668,8/p5pk/8/2P5/3K4/7p/8/8,
5724,5724,8/p5pk/8/2P5/3K4/8/7p/8,
5776,5776,8/p5pk/2P5/8/3K4/8/7p/8,
5832,5832,8/p5pk/2P5/8/3K4/8/8/7q,
5888,5888,8/p1P3pk/8/8/3K4/8/8/7q,
5940,5940,8/p1P3pk/2q5/8/3K4/8/8/8,
5996,5996,8/p1P3pk/2q5/8/8/4K3/8/8,
6052,6052,8/p1q3pk/8/8/8/4K3/8/8,
6104,6104,8/p1q3pk/8/8/4K3/8/8/8,
6160,6160,8/2q3pk/8/p7/4K3/8/8/8,
6212,6212,8/2q3pk/8/p4K2/8/8/8/8,
6268,6268,8/2q3pk/8/5K2/p7/8/8/8,
6324,6324,8/2q3pk/8/6K1/p7/8/8/8,
6376,6376,8/2q3pk/8/6K1/8/p7/8/8,
6432,6432,8/2q3pk/8/7K/8/p7/8/8,
6488,6488,8/6pk/8/7K/8/p7/7q/8,
6540,6540,8/6pk/8/6K1/8/p7/7q/8,
6596,6596,8/6pk/8/6K1/8/8/p6q/8,
6648,6648,8/6pk/8/5K2/8/8/p6q/8,
6704,6704,8/6pk/8/5K2/8/8/7q/q7,
6760,6760,8/6pk/4K3/8/8/8/7q/q7,
6812,6812,8/6pk/4K3/8/8/8/4q3/q7,
6868,6868,8/6pk/8/5K2/8/8/4q3/q7,
6924,6924,8/6pk/8/5K2/8/8/4q3/5q2,
6976,6976,8/6pk/8/6K1/8/8/4q3/5q2,
7032,7032,8/6pk/8/6K1/8/8/6q1/5q2,
7084,7084,8/6pk/8/7K/8/8/6q1/5q2,
7140,7140,8/6pk/8/7K/8/8/6q1/7q,
