image_name,fen,view
game10_per_frame_frame_003396.jpg,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_frame_003604.jpg,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_frame_003632.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_frame_003948.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004052.jpg,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004176.jpg,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004480.jpg,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004552.jpg,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004780.jpg,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004940.jpg,rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_004980.jpg,rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_frame_005080.jpg,rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,white pieces closer to the camera
game10_per_frame_frame_005588.jpg,rnbqk2r/pp3ppp/2pb1p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,white pieces closer to the camera
game10_per_frame_frame_005736.jpg,rnbqk2r/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,white pieces closer to the camera
game10_per_frame_frame_006344.jpg,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,white pieces closer to the camera
game10_per_frame_frame_006416.jpg,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_frame_006804.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N2/PPP2PPP/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_frame_007632.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N1P/PPP2PP1/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_frame_007740.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5b1P/PPP2PP1/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_frame_007848.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1,white pieces closer to the camera
game10_per_frame_bright_frame_003396.jpg,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_003604.jpg,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_003632.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_003948.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004052.jpg,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004176.jpg,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004480.jpg,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004552.jpg,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004780.jpg,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004940.jpg,rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_004980.jpg,rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_bright_frame_005080.jpg,rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,white pieces closer to the camera
game10_per_frame_bright_frame_005588.jpg,rnbqk2r/pp3ppp/2pb1p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,white pieces closer to the camera
game10_per_frame_bright_frame_005736.jpg,rnbqk2r/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,white pieces closer to the camera
game10_per_frame_bright_frame_006344.jpg,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,white pieces closer to the camera
game10_per_frame_bright_frame_006416.jpg,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_bright_frame_006804.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N2/PPP2PPP/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_bright_frame_007632.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N1P/PPP2PP1/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_bright_frame_007740.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5b1P/PPP2PP1/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_bright_frame_007848.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1,white pieces closer to the camera
game10_per_frame_color_frame_003396.jpg,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_003604.jpg,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_003632.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_003948.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004052.jpg,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004176.jpg,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004480.jpg,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004552.jpg,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004780.jpg,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004940.jpg,rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_004980.jpg,rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_color_frame_005080.jpg,rnbqkb1r/pp3ppp/2p2p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,white pieces closer to the camera
game10_per_frame_color_frame_005588.jpg,rnbqk2r/pp3ppp/2pb1p2/8/3P4/5N2/PPP2PPP/R1BQKB1R,white pieces closer to the camera
game10_per_frame_color_frame_005736.jpg,rnbqk2r/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,white pieces closer to the camera
game10_per_frame_color_frame_006344.jpg,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQK2R,white pieces closer to the camera
game10_per_frame_color_frame_006416.jpg,rnbq1rk1/pp3ppp/2pb1p2/8/2BP4/5N2/PPP2PPP/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_color_frame_006804.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N2/PPP2PPP/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_color_frame_007632.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP2b1/5N1P/PPP2PP1/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_color_frame_007740.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5b1P/PPP2PP1/R1BQ1RK1,white pieces closer to the camera
game10_per_frame_color_frame_007848.jpg,rn1q1rk1/pp3ppp/2pb1p2/8/2BP4/5Q1P/PPP2PP1/R1B2RK1,white pieces closer to the camera
game10_per_frame_dark_frame_003396.jpg,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_dark_frame_003604.jpg,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_dark_frame_003632.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,white pieces closer to the camera
game10_per_frame_dark_frame_003948.jpg,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
game10_per_frame_dark_frame_004052.jpg,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR,white pieces closer to the camera
